mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CON	Mean_Treatment.Pb	Mean_Genotype.I	Mean_Genotype.X
259.0279664	0.8983022846	0.5429061318	0.1539832168	0.9761814353	0.4242072852	0.5973539753	0.9997653318	no	14.0595587254839	14.0187523	14.029109708125	14.0558523519355	14.0130145639683	14.0680858750794	14.0681592784127	14.0129411606349
259.071639	0.8726318008	0.8788775156	0	0.8423425519	0.3462754587	0.6887057897	0.9997653318	no	15.3870499009677	15.469099779375	15.4378641609375	15.4721597235484	15.4286861292063	15.4547796557143	15.1703090077778	15.7131567771429
259.0925633	0.0032887186	0.622429392	0.7994518772	0.9406230109	0.6639286664	0.8409619881	0.9997653318	no	16.3512489209677	16.11061874875	16.7014657859375	16.3736089445161	16.3263863049206	16.4427771703175	16.3975184328571	16.371645042381
259.0925888	0.0009510357	0.6997790076	0	0.8695108614	0.1039617282	0.9803220923	0.9997653318	no	14.3861289719355	14.2439417909375	14.499242370625	14.5392129306452	14.3918039230159	14.4410134126984	14.6842407277778	14.1485766079365
259.096806	0.3876004159	0.5020270551	0.5386683902	0.9388978747	0.7689229315	0.1617108991	0.9997653318	no	18.9127480012903	19.0271903959375	18.8017618321875	18.7835549083871	18.9611037966667	18.8025765446032	18.8508021480952	18.9128781931746
259.0994547	0.7110405854	0.7390651618	0	0.8128580436	5.31e-08	0.9926897841	0.9997653318	no	16.3887834129032	16.1701836	16.23183466	16.2527899512903	16.3055159546032	16.2143786265079	16.8614023814286	15.6584921996825
259.1118813	0.2343946652	0.4984801734	0.0967567805	0.9630275682	0.5912702353	0.978691356	0.9997653318	no	13.8122535564516	13.7507385734375	13.7395620171875	13.8170872809677	13.7554696150794	13.8032476049206	13.8037405133333	13.7549767066667
259.1345354	0.1550413353	0.7796110597	9.9e-09	0.998206491	0.7953619458	0.9198181492	0.9997653318	no	13.9538851493548	14.089633955625	13.996319766875	13.9551560222581	14.0129768565079	13.9859246584127	14.1271592298413	13.8717422850794
259.1401157	8.88899e-05	0.3707434567	0.1415101345	0.9406230109	0.9601075672	0.9303816732	0.9997653318	no	14.6898326812903	14.53053742875	14.81292537875	14.7017065525806	14.7254325646032	14.6416868971429	14.7128987166667	14.6542207450794
259.152538	0.0014490238	0.7938260089	0.2759319552	0.9974652153	0.0618006276	0.8453929059	0.9997653318	no	16.8861943019355	16.796115925	17.1045735925	16.9418558345161	16.947112922381	16.917833407619	16.961413981746	16.903532348254
